id,employee_status,country_residence,gender,age,cust_new,cust_seniority,init_cust_that_left,ult_fec_cli_1t,indrel_1mes,cust_relation_start_of_month,residence_index,foreigner_index,spouse,input_channel,indfall,tipodom,province_code,province_name,cust_active,gross_income,segmentation,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
1375586,N,ES,H,35,0,6,1,,1,A,S,N,,KHL,N,1,29,MALAGA,1,87218.1,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050611,N,ES,V,23,0,35,1,,1,I,S,S,,KHE,N,1,13,CIUDAD REAL,0,35548.74,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050612,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,122179.11,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050613,N,ES,H,22,0,35,1,,1,I,S,N,,KHD,N,1,50,ZARAGOZA,0,119775.54,03 - UNIVERSITARIO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050614,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050615,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,22220.04,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050616,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,24,LEON,0,295590.36,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050617,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,113316.66,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050619,N,ES,H,24,0,35,1,,1,I,S,N,,KHE,N,1,20,GIPUZKOA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050620,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,10,CACERES,0,113194.98,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050621,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,50,ZARAGOZA,0,72575.88,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050622,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,17,GIRONA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050623,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,49,ZAMORA,1,113538.81,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050624,N,ES,H,65,0,35,1,,1,A,S,N,,KHE,N,1,50,ZARAGOZA,1,61605.09,02 - PARTICULARES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050625,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,49,ZAMORA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050626,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,8,BARCELONA,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050610,N,ES,V,24,0,35,1,,1,I,S,N,,KHE,N,1,37,SALAMANCA,1,68318.46,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050627,N,ES,H,23,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,0,65608.35,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050609,N,ES,H,22,0,35,1,,1,I,S,N,,KFA,N,1,13,CIUDAD REAL,1,73432.47,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050605,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,45,TOLEDO,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050582,N,ES,V,28,0,35,1,,1,I,S,N,,KHE,N,1,13,CIUDAD REAL,1,64620.57,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050586,N,ES,V,23,0,35,1,,1,A,S,N,,KHE,N,1,13,CIUDAD REAL,1,64194.99,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1050588,N,ES,H,22,0,35,1,,1,I,S,N,,KHE,N,1,9,BURGOS,1,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050589,N,ES,V,23,0,35,1,,1,I,S,N,,KHE,N,1,22,HUESCA,0,119173.89,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050591,N,ES,H,23,0,35,1,,1,A,S,N,,KHE,N,1,13,CIUDAD REAL,1,58728.39,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050592,N,ES,H,22,0,35,1,,1,I,S,N,,KHD,N,1,31,NAVARRA,0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1050595,N,ES,V,25,0,35,1,,1,A,S,N,,KHE,N,1,5,AVILA,1,86863.38,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
